Date : 2020-01-14 21:30:02
Directory : c:\Users\44jor\Dropbox\Code\PlayGround - Python\CODE
Total : 131 files,  4216 codes, 2236 comments, 2433 blanks, all 8885 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Python   |        130 |      4,215 |      2,236 |      2,432 |      8,883 |
| Markdown |          1 |          1 |          0 |          1 |          2 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                  |        131 |      4,216 |      2,236 |      2,433 |      8,885 |
| Basic Algorithms                                                                                                                                                   |         20 |        720 |        437 |        335 |      1,492 |
| Basic Algorithms\Binary Search                                                                                                                                     |          1 |         13 |         79 |         32 |        124 |
| Basic Algorithms\CC                                                                                                                                                |          3 |        181 |         49 |         62 |        292 |
| Basic Algorithms\Sorting                                                                                                                                           |          4 |         75 |        177 |         37 |        289 |
| Basic Algorithms\directedCycle                                                                                                                                     |          2 |         66 |         19 |         31 |        116 |
| Basic Algorithms\topSort                                                                                                                                           |          2 |         56 |         17 |         32 |        105 |
| Basic Algorithms\undirectedCycle                                                                                                                                   |          3 |         76 |          8 |         28 |        112 |
| LEETCODELEETCODE                                                                                                                                                   |        110 |      3,495 |      1,799 |      2,097 |      7,391 |
| LEETCODELEETCODE\BitShifting                                                                                                                                       |          1 |         11 |          0 |          1 |         12 |
| LEETCODELEETCODE\CC Graph Cycle Traversals                                                                                                                         |         29 |      1,211 |        450 |        684 |      2,345 |
| LEETCODELEETCODE\CC Graph Cycle Traversals\Backtracking                                                                                                            |         10 |        281 |        132 |        194 |        607 |
| LEETCODELEETCODE\CC Graph Cycle Traversals\Cycles and CC                                                                                                           |          1 |         14 |          8 |          5 |         27 |
| LEETCODELEETCODE\CC Graph Cycle Traversals\DFS in a Matrix                                                                                                         |          4 |        314 |        119 |        167 |        600 |
| LEETCODELEETCODE\CC Graph Cycle Traversals\TopSort                                                                                                                 |          2 |        120 |         43 |         74 |        237 |
